"","Device Name","IP Address","Device Category","Device Class | Sub-class","DID","Organization","Current State","Collection Group","Collection State","SNMP Credential","SNMP Version","",""
"","172.26.90.14","172.26.90.14","Pingable","Ping | ICMP","4627","Network-Hold area until ready to monitor","0","5","0","0","","","4627"
"","172.26.90.34","172.26.90.34","Pingable","Ping | ICMP","4654","Network-Hold area until ready to monitor","0","4","0","0","","","4654"
"","172.26.90.38","172.26.90.38","Pingable","Ping | ICMP","4588","Network-Hold area until ready to monitor","0","5","0","0","","","4588"
"","172.26.90.42","172.26.90.42","Pingable","Ping | ICMP","4650","Network-Hold area until ready to monitor","0","4","0","0","","","4650"
"","172.26.90.43","172.26.90.43","Pingable","Ping | ICMP","4649","Network-Hold area until ready to monitor","0","4","0","0","","","4649"
"","172.26.90.44","172.26.90.44","Pingable","Ping | ICMP","4652","Network-Hold area until ready to monitor","0","4","0","0","","","4652"
"","172.26.90.45","172.26.90.45","Pingable","Ping | ICMP","4651","Network-Hold area until ready to monitor","0","4","0","0","","","4651"
"","172.26.90.47","172.26.90.47","Pingable","Ping | ICMP","4573","Network-Hold area until ready to monitor","0","5","0","0","","","4573"
"","172.26.93.101","172.26.93.101","Pingable","Ping | ICMP","4515","Network-Hold area until ready to monitor","0","5","0","0","","","4515"
"","172.26.93.102","172.26.93.102","Pingable","Ping | ICMP","4516","Network-Hold area until ready to monitor","0","5","0","0","","","4516"
"","172.26.93.104","172.26.93.104","Pingable","Ping | ICMP","4517","Network-Hold area until ready to monitor","0","5","0","0","","","4517"
"","172.26.93.105","172.26.93.105","Pingable","Ping | ICMP","4520","Network-Hold area until ready to monitor","0","5","0","0","","","4520"
"","172.26.93.20","172.26.93.20","Pingable","Ping | ICMP","4600","Network-Hold area until ready to monitor","0","5","0","0","","","4600"
"","172.26.95.10","172.26.95.10","Unknown","NetScout Systems | OEM","3251","Network-Hold area until ready to monitor","0","5","0","81","2","","3251"
"","172.29.110.25","172.29.110.25","Pingable","Ping | ICMP","4605","Network-Hold area until ready to monitor","0","5","0","0","","","4605"
"","172.29.110.26","172.29.110.26","Pingable","Ping | ICMP","4606","Network-Hold area until ready to monitor","0","5","0","0","","","4606"
"","172.29.90.18","172.29.90.18","Pingable","Ping | ICMP","4507","Network-Hold area until ready to monitor","0","5","0","0","","","4507"
"","172.29.90.30","172.29.90.30","Pingable","Ping | ICMP","4655","Network-Hold area until ready to monitor","0","4","0","0","","","4655"
"","172.29.90.34","172.29.90.34","Pingable","Ping | ICMP","4647","Network-Hold area until ready to monitor","0","4","0","0","","","4647"
"","172.29.90.38","172.29.90.38","Pingable","Ping | ICMP","4502","Network-Hold area until ready to monitor","0","5","0","0","","","4502"
"","172.29.90.39","172.29.90.39","Pingable","Ping | ICMP","4621","Network-Hold area until ready to monitor","0","5","0","0","","","4621"
"","172.29.90.43","172.29.90.43","Pingable","Ping | ICMP","4648","Network-Hold area until ready to monitor","0","4","0","0","","","4648"
"","172.29.90.63","172.29.90.63","Pingable","Ping | ICMP","4653","Network-Hold area until ready to monitor","0","4","0","0","","","4653"
"","172.29.93.101","172.29.93.101","Pingable","Ping | ICMP","4549","Network-Hold area until ready to monitor","0","5","0","0","","","4549"
"","172.29.93.102","172.29.93.102","Pingable","Ping | ICMP","4558","Network-Hold area until ready to monitor","0","5","0","0","","","4558"
"","172.29.93.104","172.29.93.104","Pingable","Ping | ICMP","4543","Network-Hold area until ready to monitor","0","5","0","0","","","4543"
"","172.29.93.105","172.29.93.105","Pingable","Ping | ICMP","4548","Network-Hold area until ready to monitor","0","5","0","0","","","4548"
"","172.29.93.20","172.29.93.20","Pingable","Ping | ICMP","4567","Network-Hold area until ready to monitor","0","5","0","0","","","4567"
"","172.29.93.55","172.29.93.55","Pingable","Ping | ICMP","4585","Network-Hold area until ready to monitor","0","5","0","0","","","4585"
"","192.168.240.107","192.168.240.107","Pingable","Ping | ICMP","4577","Network-Hold area until ready to monitor","0","5","0","0","","","4577"
"","192.168.240.108","192.168.240.108","Pingable","Ping | ICMP","4578","Network-Hold area until ready to monitor","0","5","0","0","","","4578"
"","192.168.40.18","192.168.40.18","Pingable","Ping | ICMP","5642","CSAA","0","1","0","0","","","5642"
"","192.168.65.40","192.168.65.40","Pingable","Ping | ICMP","5693","CSAA","1","3","0","69","2","","5693"
"","206.218.27.210","206.218.27.210","Pingable","Ping | ICMP","4594","Network-Hold area until ready to monitor","0","5","0","0","","","4594"
"","206.218.27.211","206.218.27.211","Pingable","Ping | ICMP","4590","Network-Hold area until ready to monitor","0","5","0","0","","","4590"
"","209.134.216.10","209.134.216.10","Pingable","Ping | ICMP","4611","Network-Hold area until ready to monitor","0","5","0","0","","","4611"
"","209.134.225.36","209.134.225.36","Pingable","Ping | ICMP","4536","Network-Hold area until ready to monitor","0","5","0","0","","","4536"
"","209.134.225.37","209.134.225.37","Pingable","Ping | ICMP","4571","Network-Hold area until ready to monitor","0","5","0","0","","","4571"
"","admin.csaa.com","10.40.2.62","Network.Firewall","Cisco Systems | ASA 5512-SC","4559","Network-Hold area until ready to monitor","0","5","0","81","2","","4559"
"","b2b-vpn.csaa.com","172.29.249.123","Network.Firewall","Cisco Systems | ASA 5512-SC","4618","Network-Hold area until ready to monitor","0","5","0","81","2","","4618"
"","b2b-vpn.csaa.com","172.26.249.124","Network.Firewall","Cisco Systems | ASA 5512-SC","4532","Network-Hold area until ready to monitor","0","5","0","81","2","","4532"
"","b2b-vpn.csaa.com","172.26.249.123","Network.Firewall","Cisco Systems | ASA 5512-SC","4534","Network-Hold area until ready to monitor","0","5","0","81","2","","4534"
"","BCCCRm1012AM","10.37.10.45","Pingable","Ping | ICMP","5304","VideoOps-Hold area until ready to monitor","0","4","0","0","","","5304"
"","BCCCRm2012AM","10.37.10.46","Pingable","Ping | ICMP","5303","VideoOps-Hold area until ready to monitor","0","4","0","0","","","5303"
"","BCCCRm2022AM","10.37.10.47","Pingable","Ping | ICMP","5302","VideoOps-Hold area until ready to monitor","0","4","0","0","","","5302"
